,Product_Names,Product_Prices,Product_Features
0,"Realme X50 Pro (Moss Green, 256 GB)","<div class=""_1vC4OE _2rQ-NK"">₹47,999</div>",12 GB RAM | 256 GB ROM16.36 cm (6.44 inch) Full HD+ Display64MP + 12MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera4200 mAh Battery5G PhoneQualcomm Snapdragon 865 Processor65W Superdart ChargeBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
1,"Realme X50 Pro 5G (Rust Red, 256 GB)","<div class=""_1vC4OE _2rQ-NK"">₹47,999</div>",12 GB RAM | 256 GB ROM16.36 cm (6.44 inch) Full HD+ Display64MP + 12MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera4200 mAh Battery5G PhoneQualcomm Snapdragon 865 Processor65W Superdart ChargeBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
2,"Realme X50 Pro (Rust Red, 128 GB)","<div class=""_1vC4OE _2rQ-NK"">₹41,999</div>",8 GB RAM | 128 GB ROM16.36 cm (6.44 inch) Full HD+ Display64MP + 12MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera4200 mAh Battery5G PhoneQualcomm Snapdragon 865 Processor65W Superdart ChargeBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
3,"Realme X50 Pro (Moss Green, 128 GB)","<div class=""_1vC4OE _2rQ-NK"">₹41,999</div>",8 GB RAM | 128 GB ROM16.36 cm (6.44 inch) Full HD+ Display64MP + 12MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera4200 mAh Battery5G PhoneQualcomm Snapdragon 865 Processor65W Superdart ChargeBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4,"Realme X2 Pro (Neptune Blue, 256 GB)","<div class=""_1vC4OE _2rQ-NK"">₹35,999</div>",12 GB RAM | 256 GB ROM16.51 cm (6.5 inch) Full HD+ Display64MP + 13MP + 8MP + 2MP | 16MP Front Camera4000 mAh BatteryQualcomm Snapdragon 855 Plus Processor90 Hz Ultra Smooth Display50W Super Vooc Flash Charge20X Hybrid ZoomBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
5,"Motorola Razr (Gold, 128 GB)","<div class=""_1vC4OE _2rQ-NK"">₹1,24,999</div>",6 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Display16MP Rear Camera | 5MP Front Camera2510 mAh BatterySDM710 ProcessorInteractive Quick View DisplayFlippable and Pocket-Ready DesignBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
6,"Motorola Razr (Black, 128 GB)","<div class=""_1vC4OE _2rQ-NK"">₹1,24,999</div>",6 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Display16MP Rear Camera | 5MP Front Camera2510 mAh BatterySDM710 ProcessorInteractive Quick View DisplayFlippable and Pocket-Ready DesignBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
7,"Motorola Edge+ (Thunder Grey, 256 GB)","<div class=""_1vC4OE _2rQ-NK"">₹74,999</div>","12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display108MP + 16MP + 8MP | 25MP Front Camera5000 mAh Lithium-ion BatteryQualcomm Snapdragon 865 Processor90 Degree Curved Endless Edge Display90 Hz Refresh Rate1 Year Warranty on Handset, 6 Months Warranty on Accessories"
8,"Motorola Edge+ (Smoky Sangria, 256 GB)","<div class=""_1vC4OE _2rQ-NK"">₹74,999</div>","12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display108MP + 16MP + 8MP | 25MP Front Camera5000 mAh Lithium-ion BatteryQualcomm Snapdragon 865 Processor90 Degree Curved Endless Edge Display90 Hz Refresh Rate1 Year Warranty on Handset, 6 Months Warranty on Accessories"
9,"Moto Turbo (Black, 64 GB)","<div class=""_1vC4OE _2rQ-NK"">₹31,999</div>",3 GB RAM | 64 GB ROM13.21 cm (5.2 inch) Quad HD Display21MP Rear Camera | 2MP Front Camera3900 mAh BatteryQualcomm Snapdragon 805 QSC 8084 ProcessorBrand Warranty of 1 Year
10,"Samsung Galaxy S10 Plus (Ceramic White, 1 TB)","<div class=""_1vC4OE _2rQ-NK"">₹1,17,990</div>",12 GB RAM | 1 TB ROM | Expandable Upto 512 GB16.26 cm (6.4 inch) Quad HD+ Display16MP + 12MP | 10MP + 8MP Dual Front Camera4100 mAh Lithium-ion BatteryExynos 9 9820 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
11,"Samsung Galaxy Note 20 Ultra 5G (Mystic Bronze, 256 GB)","<div class=""_1vC4OE _2rQ-NK"">₹1,04,999</div>",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.53 cm (6.9 inch) Quad HD+ Display108MP + 12MP + 12MP | 10MP Front Camera4500 mAh Lithium-ion BatteryExynos Octa Core Processor1 Year Warranty Provided by the Manufacturer from Date of Purchase
12,"Samsung Galaxy Note 20 Ultra 5G (Mystic Black, 256 GB)","<div class=""_1vC4OE _2rQ-NK"">₹1,04,999</div>",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.53 cm (6.9 inch) Quad HD+ Display108MP + 12MP + 12MP | 10MP Front Camera4500 mAh Lithium-ion BatteryExynos Octa Core Processor1 Year Warranty Provided by the Manufacturer from Date of Purchase
13,"Samsung Galaxy S20 Ultra (Cosmic Black, 128 GB)","<div class=""_1vC4OE _2rQ-NK"">₹97,999</div>",12 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.53 cm (6.9 inch) Quad HD+ Display108 MP + 48 MP + 12 MP + VGA Depth Camera | 40MP Front Camera5000 mAh Lithium-ion BatteryExynos 990 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
14,"Samsung Galaxy S20 Ultra (Cosmic Gray, 128 GB)","<div class=""_1vC4OE _2rQ-NK"">₹97,999</div>",12 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.53 cm (6.9 inch) Quad HD+ Display108 MP + 48 MP + 12 MP + VGA Depth Camera | 40MP Front Camera5000 mAh Lithium-ion BatteryExynos 990 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
15,"Mi 10 (Twilight Grey, 256 GB)","<div class=""_1vC4OE _2rQ-NK"">₹54,999</div>",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display108MP + 13MP + 2MP + 2MP | 20MP Front Camera4780 mAh BatteryQualcomm Snapdragon 865 ProcessorFull HD+ 3D Curved E3 AMOLED HDR 10+ Display30 W Charging1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase
16,"Mi 10 (Coral Green, 256 GB)","<div class=""_1vC4OE _2rQ-NK"">₹54,999</div>",8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display108MP + 13MP + 2MP + 2MP | 20MP Front Camera4780 mAh BatteryQualcomm Snapdragon 865 ProcessorFull HD+ 3D Curved E3 AMOLED HDR 10+ Display30 W Charging1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase
17,"Redmi K20 Pro (Flame Red, 256 GB)","<div class=""_1vC4OE _2rQ-NK"">₹29,999</div>",8 GB RAM | 256 GB ROM16.23 cm (6.39 inch) Full HD+ Display48MP + 13MP + 8MP | 20MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 855 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
18,"Redmi K20 Pro (Carbon Black, 256 GB)","<div class=""_1vC4OE _2rQ-NK"">₹29,999</div>",8 GB RAM | 256 GB ROM16.23 cm (6.39 inch) Full HD+ Display48MP + 13MP + 8MP | 20MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 855 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
19,"Redmi K20 Pro (Carbon Black, 128 GB)","<div class=""_1vC4OE _2rQ-NK"">₹22,999</div>",6 GB RAM | 128 GB ROM16.23 cm (6.39 inch) Full HD+ Display48MP + 13MP + 8MP | 20MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 855 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
20,"Apple iPhone 11 Pro (Gold, 256 GB)","<div class=""_1vC4OE _2rQ-NK"">₹1,18,600</div>",256 GB ROM14.73 cm (5.8 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year
21,"Apple iPhone 11 Pro Max (Gold, 64 GB)","<div class=""_1vC4OE _2rQ-NK"">₹1,14,400</div>",64 GB ROM16.51 cm (6.5 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year
22,"Apple iPhone 11 Pro Max (Midnight Green, 64 GB)","<div class=""_1vC4OE _2rQ-NK"">₹1,14,400</div>",64 GB ROM16.51 cm (6.5 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year
23,"Apple iPhone 11 Pro Max (Silver, 64 GB)","<div class=""_1vC4OE _2rQ-NK"">₹1,14,400</div>",64 GB ROM16.51 cm (6.5 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year
24,"Apple iPhone 11 Pro Max (Space Grey, 64 GB)","<div class=""_1vC4OE _2rQ-NK"">₹1,14,400</div>",64 GB ROM16.51 cm (6.5 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty for 1 Year
